UNICEF Region,UNICEF Region Full,iso3,adm0_name,map_lab,adm0_altnm,adm0_id
Non-PDC,Non-Program Document Country,NLD,Netherlands,Netherlands,NA,177
Non-PDC,Non-Program Document Country,NCL,New Caledonia,New Caledonia (Fr.),NA,178
Non-PDC,Non-Program Document Country,NZL,New Zealand,New Zealand,NA,179
LACRO,Latin America and Caribbean Regional Office,NIC,Nicaragua,Nicaragua,NA,180
WCARO,West and Central Africa Regional Office,NER,Niger,Niger,NA,181
Non-PDC,Non-Program Document Country,NIU,Niue,Niue (NZ),NA,183
Non-PDC,Non-Program Document Country,NFK,Norfolk Island,Norfolk Is. (Aust.),NA,184
Non-PDC,Non-Program Document Country,MNP,Northern Mariana Is. (USA),Northern Mariana Is. (USA),NA,185
Non-PDC,Non-Program Document Country,NOR,Norway,Norway,NA,186
MENARO,Middle East North Africa Regional Office,OMN,Oman,Oman,NA,187
ROSA,Regional Office of South Asia,PAK,Pakistan,Pakistan,NA,188
EAPRO,East Asia and Pacific Regional Office,PLW,Palau,Palau,NA,189
LACRO,Latin America and Caribbean Regional Office,PAN,Panama,Panama,NA,191
Non-PDC,Non-Program Document Country,PCN,Pitcairn,Pitcairn (UK),NA,197
Non-PDC,Non-Program Document Country,POL,Poland,Poland,NA,198
Non-PDC,Non-Program Document Country,PRT,Portugal,Portugal,NA,199
Non-PDC,Non-Program Document Country,PRI,Puerto Rico (USA),Puerto Rico (USA),NA,200
MENARO,Middle East North Africa Regional Office,QAT,Qatar,Qatar,NA,201
Non-PDC,Non-Program Document Country,KOR,Republic of Korea,Republic of Korea,"South Korea, ROK",202
ECARO,Europe and Central Asia Regional Office,ROU,Romania,Romania,NA,203
Non-PDC,Non-Program Document Country,REU,Réunion,Réunion (Fr.),NA,206
Non-PDC,Non-Program Document Country,SHN,Saint Helena (Ascencion),Ascencion (UK),Ascencion,207
Non-PDC,Non-Program Document Country,SPM,Saint Pierre et Miquelon,Saint Pierre et Miquelon (Fr.),NA,210
LACRO,Latin America and Caribbean Regional Office,KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,NA,208
LACRO,Latin America and Caribbean Regional Office,LCA,Saint Lucia,Saint Lucia,NA,209
LACRO,Latin America and Caribbean Regional Office,VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,NA,211
EAPRO,East Asia and Pacific Regional Office,WSM,Samoa,Samoa,NA,212
EAPRO,East Asia and Pacific Regional Office,TKL,Tokelau,Tokelau (NZ),NA,244
EAPRO,East Asia and Pacific Regional Office,TON,Tonga,Tonga,Kingdom of Tonga,245
Non-PDC,Non-Program Document Country,SMR,San Marino,San Marino,NA,213
WCARO,West and Central Africa Regional Office,STP,Sao Tome and Principe,Sao Tome and Principe,NA,214
MENARO,Middle East North Africa Regional Office,SAU,Saudi Arabia,Saudi Arabia,NA,215
NA,#N/A,xSR,Scarborough Reef,NA,NA,216
NA,#N/A,xSK,Senkaku Islands,NA,NA,218
Non-PDC,Non-Program Document Country,SYC,Seychelles,Seychelles,NA,220
WCARO,West and Central Africa Regional Office,SLE,Sierra Leone,Sierra Leone,NA,221
Non-PDC,Non-Program Document Country,SGP,Singapore,Singapore,NA,222
Non-PDC,Non-Program Document Country,SVK,Slovakia,Slovakia,NA,223
Non-PDC,Non-Program Document Country,SVN,Slovenia,Slovenia,NA,224
EAPRO,East Asia and Pacific Regional Office,SLB,Solomon Islands,Solomon Islands,NA,225
ESARO,East and Southern Africa Regional Office,SOM,Somalia,Somalia,NA,226
ESARO,East and Southern Africa Regional Office,ZAF,South Africa,South Africa,NA,227
Non-PDC,Non-Program Document Country,SGS,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands (UK),NA,228
Non-PDC,Non-Program Document Country,ESP,Spain,Spain,NA,229
NA,#N/A,xSI,Spratly Islands,NA,NA,230
ROSA,Regional Office of South Asia,LKA,Sri Lanka,Sri Lanka,NA,231
LACRO,Latin America and Caribbean Regional Office,SUR,Suriname,Suriname,NA,233
Non-PDC,Non-Program Document Country,SJM,Svalbard and Jan Mayen Islands,Svalbard & Jan Mayen Is. (Norw.),NA,234
ESARO,East and Southern Africa Regional Office,SWZ,Eswatini,Eswatini,Swaziland,235
Non-PDC,Non-Program Document Country,SWE,Sweden,Sweden,NA,236
HQ,Headquarters,CHE,Switzerland,Switzerland,"Schweiz, Suisse, Svizzera, Svizra",237
ECARO,Europe and Central Asia Regional Office,TJK,Tajikistan,Tajikistan,Tadjikistan,239
EAPRO,East Asia and Pacific Regional Office,THA,Thailand,Thailand,NA,240
ECARO,Europe and Central Asia Regional Office,MKD,North Macedonia,North Macedonia,Macedonia,241
EAPRO,East Asia and Pacific Regional Office,TLS,Timor-Leste,Timor-Leste,NA,242
WCARO,West and Central Africa Regional Office,TGO,Togo,Togo,NA,243
LACRO,Latin America and Caribbean Regional Office,TTO,Trinidad and Tobago,Trinidad and Tobago,NA,246
NA,#N/A,xFR,Tromelin Island,Tromelin Island (Fr.),NA,247
